club_name,event_attending,event_date,event_day
Void Club,26,2019-06-08,Sat
Watergate,24,2019-06-08,Sat
,21,2019-06-08,Sat
Osthafen,21,2019-06-08,Sat
Minimal Bar,17,2019-06-08,Sat
Loophole,15,2019-06-08,Sat
Diskothek Melancholie 2,15,2019-06-08,Sat
,13,2019-06-08,Sat
Griessmuehle,270,2019-06-09,Sun
Sage Beach Berlin,217,2019-06-09,Sun
Griessmuehle,195,2019-06-09,Sun
Berghain | Panorama Bar | Säule,168,2019-06-09,Sun
Birgit,113,2019-06-09,Sun
Burg Schnabel,107,2019-06-09,Sun
Volkspark Hasenheide,96,2019-06-09,Sun
Mensch Meier,89,2019-06-09,Sun
Tresor,76,2019-06-09,Sun
Polygon Club,65,2019-06-09,Sun
Sameheads,12,2019-06-08,Sat
Crack Bellmer,12,2019-06-08,Sat
Festsaal Kreuzberg,9,2019-06-08,Sat
arkaoda Berlin,8,2019-06-08,Sat
Paloma,7,2019-06-08,Sat
Anita Berber,7,2019-06-08,Sat
Golden Gate,6,2019-06-08,Sat
Club der Visionaere,5,2019-06-08,Sat
AVA Club,51,2019-06-09,Sun
Kater Blau,50,2019-06-09,Sun
://about blank,37,2019-06-09,Sun
,33,2019-06-09,Sun
Suicide Circus,30,2019-06-09,Sun
Watergate,26,2019-06-09,Sun
Osthafen,21,2019-06-09,Sun
Void Club,13,2019-06-09,Sun
KitKatClub,12,2019-06-09,Sun
Minimal Bar,11,2019-06-09,Sun
Club der Visionaere,11,2019-06-09,Sun
Zur Klappe,5,2019-06-08,Sat
Beate Uwe,4,2019-06-08,Sat
KitKatClub,4,2019-06-08,Sat
Acud Macht NEU,4,2019-06-08,Sat
Badehaus Berlin,3,2019-06-08,Sat
Repeat,3,2019-06-08,Sat
Halle,2,2019-06-08,Sat
,2,2019-06-08,Sat
Cassiopeia,2,2019-06-08,Sat
Crack Bellmer,10,2019-06-09,Sun
Haubentaucher,9,2019-06-09,Sun
Lauschangriff,9,2019-06-09,Sun
Zur Klappe,8,2019-06-09,Sun
Paloma,4,2019-06-09,Sun
Badehaus Berlin,3,2019-06-09,Sun
Ritter Butzke,3,2019-06-09,Sun
Golden Gate,3,2019-06-09,Sun
KitKatClub,3,2019-06-09,Sun
Cassiopeia,1,2019-06-09,Sun
Maze,1,2019-06-09,Sun
Soda Club,1,2019-06-08,Sat
Maze,1,2019-06-08,Sat
Solar,1,2019-06-08,Sat
Insomnia,1,2019-06-08,Sat
,1,2019-06-08,Sat
Life Berlin,1,2019-06-08,Sat
Süss War Gestern,1,2019-06-08,Sat
Astro Bar,1,2019-06-08,Sat
Süss War Gestern,1,2019-06-09,Sun
Astro Bar,1,2019-06-09,Sun
Motif Wein,1,2019-06-08,Sat
Acud Macht NEU,1,2019-06-08,Sat
House of Gin,,2019-06-08,Sat
Eschschloraque,,2019-06-08,Sat
Bar Bobu,,2019-06-08,Sat
Volkspark Hasenheide,,2019-06-08,Sat
,,2019-06-06,Thu
,,2019-06-06,Thu
Griessmuehle,72,2019-06-06,Thu
://about blank,72,2019-06-06,Thu
Kater Blau,58,2019-06-06,Thu
OHM,49,2019-06-06,Thu
Klunkerkranich,40,2019-06-06,Thu
Berghain | Panorama Bar | Säule,36,2019-06-06,Thu
Zur Klappe,32,2019-06-06,Thu
Paloma,26,2019-06-06,Thu
Club der Visionaere,20,2019-06-06,Thu
Polygon Club,20,2019-06-06,Thu
Zu Mir Oder Zu Dir,19,2019-06-06,Thu
Watergate,17,2019-06-06,Thu
Minimal Bar,16,2019-06-06,Thu
Golden Gate,15,2019-06-06,Thu
Else,14,2019-06-06,Thu
Void Club,9,2019-06-06,Thu
Der Weiße Hase,8,2019-06-06,Thu
AVA Club,4,2019-06-06,Thu
Crack Bellmer,4,2019-06-06,Thu
,4,2019-06-06,Thu
arkaoda Berlin,3,2019-06-06,Thu
Staatsoper Berlin,3,2019-06-06,Thu
Süss War Gestern,3,2019-06-06,Thu
Michelberger Hotel,2,2019-06-06,Thu
Halle,2,2019-06-06,Thu
Monarch,2,2019-06-06,Thu
Maze,2,2019-06-06,Thu
Eschschloraque,1,2019-06-06,Thu
Solar,1,2019-06-06,Thu
Birgit,1,2019-06-06,Thu
,,2019-06-10,Mon
,,2019-06-10,Mon
Griessmuehle,195,2019-06-10,Mon
Polygon Club,65,2019-06-10,Mon
Kater Blau,50,2019-06-10,Mon
KitKatClub,38,2019-06-10,Mon
[ipsə],36,2019-06-10,Mon
Tresor,23,2019-06-10,Mon
Der Weiße Hase,22,2019-06-10,Mon
Club der Visionaere,13,2019-06-10,Mon
KitKatClub,12,2019-06-10,Mon
Crack Bellmer,12,2019-06-10,Mon
Minimal Bar,11,2019-06-10,Mon
Festsaal Kreuzberg,4,2019-06-10,Mon
Süss War Gestern,3,2019-06-10,Mon
Maze,1,2019-06-10,Mon
Avanti,1,2019-06-10,Mon
,,2019-06-05,Wed
,,2019-06-05,Wed
://about blank,87,2019-06-05,Wed
Suicide Circus,76,2019-06-05,Wed
Griessmuehle,68,2019-06-05,Wed
AVA Club,37,2019-06-05,Wed
Club der Visionaere,35,2019-06-05,Wed
Watergate,32,2019-06-05,Wed
Tresor,25,2019-06-05,Wed
MONOM,24,2019-06-05,Wed
Süss War Gestern,19,2019-06-05,Wed
Paloma,18,2019-06-05,Wed
Liquidrom,15,2019-06-05,Wed
Crack Bellmer,11,2019-06-05,Wed
Minimal Bar,9,2019-06-05,Wed
KitKatClub,9,2019-06-05,Wed
Loophole,3,2019-06-05,Wed
Michelberger Hotel,2,2019-06-05,Wed
Cassiopeia,1,2019-06-05,Wed
,,2019-06-07,Fri
,,2019-06-07,Fri
Ritter Butzke,349,2019-06-07,Fri
Griessmuehle,144,2019-06-07,Fri
Birgit,136,2019-06-07,Fri
://about blank,97,2019-06-07,Fri
Loftus Hall,90,2019-06-07,Fri
Salon Zur Wilden Renate,89,2019-06-07,Fri
Hoppetosse,76,2019-06-07,Fri
Berghain | Panorama Bar | Säule,68,2019-06-07,Fri
Trauma Bar und Kino,68,2019-06-07,Fri
Suicide Circus,66,2019-06-07,Fri
Klosterruine Berlin,55,2019-06-07,Fri
Fitzroy,54,2019-06-07,Fri
Säälchen,49,2019-06-07,Fri
Tresor,49,2019-06-07,Fri
Crack Bellmer,44,2019-06-07,Fri
Zur Klappe,39,2019-06-07,Fri
Watergate,33,2019-06-07,Fri
OHM,32,2019-06-07,Fri
,32,2019-06-07,Fri
Kater Blau,29,2019-06-07,Fri
Void Club,19,2019-06-07,Fri
Minimal Bar,16,2019-06-07,Fri
Sage Beach Berlin,15,2019-06-07,Fri
Der Weiße Hase,14,2019-06-07,Fri
Polygon Club,14,2019-06-07,Fri
Mensch Meier,14,2019-06-07,Fri
Kulturhaus Kili,12,2019-06-07,Fri
AVA Club,11,2019-06-07,Fri
Paloma,10,2019-06-07,Fri
arkaoda Berlin,8,2019-06-07,Fri
Sound Kitchen Emma Pea,6,2019-06-07,Fri
Club der Visionaere,6,2019-06-07,Fri
Gretchen,5,2019-06-07,Fri
It's a Bar,5,2019-06-07,Fri
,4,2019-06-07,Fri
Repeat,4,2019-06-07,Fri
Sameheads,4,2019-06-07,Fri
Golden Gate,3,2019-06-07,Fri
Paloma,3,2019-06-07,Fri
Wildenbruch Bar,3,2019-06-07,Fri
Halle,2,2019-06-07,Fri
Diskothek Melancholie 2,2,2019-06-07,Fri
Beate Uwe,2,2019-06-07,Fri
Süss War Gestern,2,2019-06-07,Fri
Soda Club,1,2019-06-07,Fri
Solar,1,2019-06-07,Fri
Loophole,1,2019-06-07,Fri
Astro Bar,1,2019-06-07,Fri
Toast Hawaii,1,2019-06-07,Fri
Bohnengold,1,2019-06-07,Fri
House of Gin,,2019-06-07,Fri
Insomnia,,2019-06-07,Fri
Eschschloraque,,2019-06-07,Fri
